timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504794431,4612,Load Login(for key),200,OK,Login  1-1,text,true,,39687,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,4561,0,82
1721504796551,2533,Account Page,200,OK,Login  1-40,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,2526,0,0
1721504797852,1238,Load Login(for key),200,OK,Login  1-10,text,true,,39692,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1232,0,91
1721504797846,1341,Load Login(for key),200,OK,Login  1-20,text,true,,39682,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1337,0,87
1721504798054,1235,Load Login(for key),200,OK,Login  1-7,text,true,,39686,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1227,0,87
1721504798026,1503,Load Login(for key),200,OK,Login  1-13,text,true,,39678,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1468,0,97
1721504798346,1340,Load Login(for key),200,OK,Login  1-35,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1326,0,91
1721504798088,1657,Load Login(for key),200,OK,Login  1-23,text,true,,39682,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1653,0,124
1721504796769,2992,Account Page,200,OK,Login  1-6,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,2976,0,0
1721504798565,1233,Load Login(for key),200,OK,Login  1-28,text,true,,39690,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1216,0,93
1721504796639,3332,Login,200,OK,Login  1-37,text,true,,58311,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1335,0,0
1721504796639,1335,Login-0,302,Found,Login  1-37,text,true,,6787,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1335,0,0
1721504797974,1997,Login-1,200,OK,Login  1-37,text,true,,51524,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1967,0,0
1721504798483,1885,Account Page,200,OK,Login  1-22,text,true,,51514,370,50,50,https://magento.softwaretestingboard.com/customer/account,1881,0,0
1721504798814,1580,Load Login(for key),200,OK,Login  1-41,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1569,0,106
1721504789693,10764,Login,200,OK,Login  1-12,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,8596,0,0
1721504789693,8596,Login-0,302,Found,Login  1-12,text,true,,6789,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,8596,0,0
1721504798289,2168,Login-1,200,OK,Login  1-12,text,true,,51524,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2160,0,0
1721504797323,3428,Login,200,OK,Login  1-16,text,true,,58309,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1540,0,0
1721504797323,1540,Login-0,302,Found,Login  1-16,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1540,0,0
1721504798864,1887,Login-1,200,OK,Login  1-16,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1872,0,0
1721504793334,7516,Account Page,200,OK,Login  1-15,text,true,,51520,370,50,50,https://magento.softwaretestingboard.com/customer/account,7499,0,0
